,,,,,,
External Regulation and Reputation,цветами,вмешательство,членство,урегулирование,перемирие,порты
Annotations,0,1,1,1,1,0
,,,,,,
Morality,поменяться,сострадание,идейный,словосочетание,хамас,собрав
Annotations,0,1,1,0,0,0
,,,,,,
Public Sentiment,майдане,выходки,партийцы,шииты,маршем,реквизиты
Annotations,1,0,1,0,1,1
,,,,,,
Political,демократам,покупает,бушу,шар,вооружены,уменьшения
Annotations,1,0,1,0,1,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",законодатель,прошение,осужденный,вычет,гамлета,подсудимый
Annotations,1,1,1,0,0,1
,,,,,,
Public Sentiment,националисты,компаний,разработчикам,телесных,клевете,меньшинство
Annotations,1,0,0,0,1,1
,,,,,,
Quality of Life,солнце,перечислила,дьявол,пентагон,восхищения,гляди
Annotations,1,0,0,0,0,0
,,,,,,
Morality,христианство,реализм,правитель,городок,капитализм,обитель
Annotations,1,1,0,0,0,0
,,,,,,
Security and Defense,режим,каждые,нормативов,распаде,обязательный,принести
Annotations,1,0,1,0,0,0
,,,,,,
Quality of Life,будапешт,футбола,максимуму,сказка,подлежащих,парик
Annotations,0,0,1,1,0,0
,,,,,,
Capacity and Resources,сбои,интенсивность,гладильщикова,пользователи,т.к.,розница
Annotations,1,0,0,0,0,1
,,,,,,
Economic,христиан,заемщику,вальбуэна,пенсии,бюджет,паев
Annotations,0,1,0,1,1,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",идеал,глобальным,встретится,запрос,заемщик,баба
Annotations,0,1,0,1,1,0
,,,,,,
Health and Safety,синдрома,шел,другому,приморье,летние,резолюцию
Annotations,1,0,0,0,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",судью,властям,ивано,судебному,постичь,розыск
Annotations,1,1,0,1,0,1
,,,,,,
External Regulation and Reputation,кругу,нефтепровод,навсего,договоренности,перевозчик,состоянием
Annotations,0,0,0,1,0,0
,,,,,,
Health and Safety,рыночный,ролике,сосуды,лечении,животное,участковых
Annotations,0,0,1,1,0,0
,,,,,,
Security and Defense,надзор,смешно,горизонта,изолятор,исповедь,победитель
Annotations,1,0,0,1,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",корзина,взыскания,эдгар,казны,кассационную,гаврилов
Annotations,0,1,0,1,0,0
,,,,,,
Quality of Life,прозрачная,допускать,кошки,хулиганство,маленький,возразить
Annotations,0,0,0,1,0,0
,,,,,,
Crime and Punishment,виновными,встречу,спецназ,хороших,незаконно,ебрр
Annotations,1,0,1,0,1,0
,,,,,,
Security and Defense,батальоны,смертной,преступник,кран,просвет,полицейские
Annotations,1,1,1,0,0,1
,,,,,,
Fairness and Equality,бланк,депрессия,сатира,неприкосновенность,отчаяние,жизненные
Annotations,0,0,0,0,1,0
,,,,,,
Political,утвердило,единороссы,весовых,сорос,кандидата,светского
Annotations,1,1,0,0,1,0
,,,,,,
Public Sentiment,подопечного,пузыря,новосибирска,полицейским,сосредоточены,избранники
Annotations,0,0,0,1,0,0
,,,,,,
External Regulation and Reputation,воссоединение,газель,правитель,рыбкина,задействованных,камуфляже
Annotations,1,0,1,0,0,0
,,,,,,
"Legality, Constitutionality, Jurisdiction",мосгорсуда,окружной,кассационной,заработала,газификации,судье
Annotations,1,1,0,0,0,1
,,,,,,
Crime and Punishment,заказывали,конкурсных,существенные,приглашения,хулиганы,ограбление
Annotations,0,0,0,0,1,1
,,,,,,
Quality of Life,думают,люба,коляску,материальные,господдержка,зараза
Annotations,0,0,0,1,1,0
,,,,,,
Capacity and Resources,воздушное,счетчики,уровни,итак,дачный,наборы
Annotations,0,0,1,0,0,0
,,,,,,
Security and Defense,сервис,forbes,интерпол,туризм,поэтический,собирает
Annotations,0,0,1,0,0,0
,,,,,,
External Regulation and Reputation,небольших,написала,полета,контакты,нейтралитет,пекин
Annotations,0,0,0,0,1,1
,,,,,,
Health and Safety,медики,желудочно,осложнений,истинную,пленарном,широких
Annotations,1,1,1,0,0,0
,,,,,,
Capacity and Resources,качества,эменике,фонды,тяга,вероятной,ресурсы
Annotations,1,0,1,0,0,1
,,,,,,
Health and Safety,вспышки,приступ,кислорода,альцгеймера,проводником,заражение
Annotations,0,0,1,1,0,1
,,,,,,
Public Sentiment,массовые,шествие,праймериз,передумал,крики,оранжевые
Annotations,1,1,1,0,0,0
,,,,,,
Crime and Punishment,испортил,арестованного,дорога,наказанию,изолятор,бандита
Annotations,0,1,0,1,1,1
,,,,,,
Health and Safety,гуляли,аэродромов,простор,государством,сотрясение,изделий
Annotations,0,0,0,0,1,0
,,,,,,
Security and Defense,сепаратизм,нападавшие,проявляют,рид,очаг,выходных
Annotations,1,1,0,0,1,0
,,,,,,
Political,избрание,кардинал,ответную,селезнев,разработчиков,совфеде
Annotations,1,1,0,0,0,0
,,,,,,
Crime and Punishment,мудро,допросы,следователи,террор,банде,приговоры
Annotations,0,1,1,1,1,1
,,,,,,
Morality,найдена,заполнили,заработал,крепость,регистратора,псевдоним
Annotations,0,0,0,0,0,0
,,,,,,
Capacity and Resources,жадность,выделенных,упаковка,продукция,поучаствовал,шины
Annotations,1,0,1,1,0,0
,,,,,,
Economic,облагаться,наличными,процентов,капиталы,вариантах,изменить
Annotations,1,1,1,1,0,0
,,,,,,
Fairness and Equality,барьеров,признание,взяло,одиночество,национализм,богатство
Annotations,1,0,0,0,0,1
,,,,,,
"Legality, Constitutionality, Jurisdiction",правообладатель,мастерство,отправлять,арбитражный,юристы,суду
